item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
d5480bb4a6e4,d46200940f37,Ханты-Мансийский АО,Ханты-Мансийск,Недвижимость,Квартиры,Сдам,На длительный срок,1,"1-к квартира, 25 м², 2/2 эт.",Сдается однокомнатная мебелированная квартира квартира. Ежемесячная плата 18 тыс.р. + свет.,18000.0,6,2017-03-25,Private,645d3fb949cb116a00c596ca1e168d8c5ddd21cdeacc5a26b711e3921a06f536,1396.0,0.58853
86f41f50d8c1,35c2b6b654e0,Тюменская область,Заводоуковск,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Джинсы,Без размера,Джинсы,,1.0,4,2017-03-19,Shop,5162fdb7d8427738370d3145647d2726546f65631e5de974f5317e19fc0c1673,119.0,0.0
645237cb3601,fc9a38b79414,Оренбургская область,Оренбург,Личные вещи,Товары для детей и игрушки,Товары для школы,,,Атласы и Контурныя карты за 8 класс,"Атлас история нового времени,19 век./
Контурные карты история нового времени,19 век./
Контурные карты по Географии./
Цена указана за один товар.",70.0,15,2017-03-21,Private,5ba63fecb66633cde074c661e0249e26af5cf370241e135ac3c7486dcab2f38e,1040.0,0.13858
df2116f34563,3ce3c2318b16,Ростовская область,Ростов-на-Дону,Бытовая электроника,Товары для компьютера,Мониторы,,,Монитор acer 18.5,Продам манитор 18.5 v193HQV. В хорошем состоянии,2500.0,47,2017-03-22,Private,0c84cef077d10e5bb37af78049fb0a593c9f1c7f37f458359b893f0775592583,2849.0,0.0
a97943ae8158,f643d87dd23c,Башкортостан,Туймазы,Животные,Собаки,Немецкая овчарка,,,Продаются щенки немецкой овчарки,"родились 1 февраля,три кобеля и сучка.",5000.0,6,2017-03-23,Private,09ebf4b30bad5857a1f26cd18d907c1e888bbe718bb13d844a788ecd057e789d,2133.0,0.0
4b6abd0a5921,94de2b374869,Татарстан,Казань,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Платье женское новое,Одето 1 раз на пару часов. Длина 79. Можно кормящим грудью мамочкам. Очень удобно. Платье с пришивным пояском и карманами. Декорировано змейкой на груди. На вид-совершенно новое платье. Цвет темно синий.,800.0,86,2017-03-27,Private,df76951e5cc7073553ea3214fd2024b9f80166828a5356312df772bc98c5745a,408.0,0.0
7896ef8fe482,007c6bd858cb,Краснодарский край,Краснодар,Транспорт,Автомобили,С пробегом,Chevrolet,Lanos,"Chevrolet Lanos, 2008","Кондиционер, гидроусилитель руля, электрические стеклоподъемники. Мотор как  на Opel. Дополнительно установлена сигнализация./
ПТС оригинал, 3 хозяина, машина местная./
Машина полностью на ходу, технически все исправно. /
Документы в порядке. /
Кузов не гнилой и не ржавый, машина не билась, но есть недочеты видные на фото. /
Цена адекватная, торг минимальный./
Осмотр в Краснодаре, в районе нового стадиона по ул. Восточно- Кругликовской.",140000.0,201,2017-03-18,Company,5244375e00cb2baefa50f4b01156cc492f8733b93c6cbaed7e2c29cc2d3d9677,1118.0,0.321
7882b1e77748,7a3fda0cdf94,Новосибирская область,Новосибирск,Личные вещи,Товары для детей и игрушки,Игрушки,,,Объемная цифра 2,"Размеры 75*53*15. Основа-картон, декор-гофрированная бумага.",500.0,9,2017-03-20,Private,0cdd241246bd930c0026315484d87817c47ce4d586d99ba31d201b2efc4f8527,983.0,0.0
071e1ed13c5c,325cacee50f4,Омская область,Москаленки,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,44–46 (M),Куртка весенняя(осенняя),"Куртка новая, очень удобная, ценник был утерян при переезде, возможен торг!",1000.0,4,2017-03-24,Private,1a60aa7ac1bab4fac1171650369e19d2e6872483d890327e3765d9e6ca0bc6d1,95.0,0.0
0658628930d4,27c2d83b766e,Белгородская область,Белгород,Недвижимость,"Дома, дачи, коттеджи",Сниму,Коттедж,На длительный срок,Сниму коттедж,"Семейная пара из двух человек снимет коттедж с дизайнерским ремонтом, со стильной мебелью и бытовой техникой. Гараж на 2 машины, 2 санузла. Огороженная территория, сигнализация.  Рассмотрим варианты коттеджей, которые выставлены на продажу. Ежемесячная оплата до 100 тыс.руб. в месяц.  Агентства просьба не беспокоить.",100000.0,5,2017-03-28,Private,,,0.10342
ea12aec32ec3,06ee4ff4e99c,Новосибирская область,Бердск,Недвижимость,Квартиры,Продам,2,Вторичка,"2-к квартира, 44 м², 5/5 эт.","Дом находиться внутри квартала./
Пластиковые окна во всей квартире, балкон застеклен железом, обшит деревом, в комнате натяжной потолок, новый линолиум,/
ванна и туалет- стеновые панели.Квартира подходит под ипотеку, 1 собственник, ЧП, небольшой торг возможен.",1748000.0,461,2017-03-17,Company,e9fb67b3d22cbf7cf569337780aea8a5c1ddac8b4b6b74ab3380d969ed56fb92,2011.0,0.0
838a82cec0a6,5d44315f6d90,Свердловская область,Екатеринбург,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,> 50 (XXL),Шапка норковая,"Продам шапку, норка, цвет коричневый, в отличном состоянии, б/у несколько раз. Цена 2 600 рублей. Торг уместен.",2600.0,33,2017-03-16,Private,,,0.0
de310e6aae86,0178e6308f38,Челябинская область,Магнитогорск,Транспорт,Автомобили,С пробегом,Ford,Focus,"Ford Focus, 2005",Полная комплектация. ГУР. 4 эсп.  Подогрев сидений зеркал заднего стекла. Эл.зеркала.  Климат. АБС.  Птф. Кожаный салон эл.лифт сидений.  Торг.,249000.0,12,2017-03-20,Private,1c873f41cea87bc32f52d0a99cf5ff6a33305f0542b7f7875f817ece93c69dd0,2264.0,0.10334000000000004
08b24e170109,6630d724bbf5,Ростовская область,Ростов-на-Дону,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,25,Туфли moschino,"Очень красивые стильные туфельки, состояние отличное",1300.0,59,2017-03-20,Private,6edfface637bd8f85e5614b57a840cb7ec168aed081ba436fdaf7a5f0cbf9f4d,87.0,0.0
065a4daba35f,19a5cd02c89b,Нижегородская область,Нижний Новгород,Животные,Товары для животных,,,,Таблетки бравекто,"Таблетки ""Бравекто"" от блох и клещей по ценам: /
- для собак от 2 до 4,5 кг 1050 рублей /
- для собак от 4,5до 10 кг 1100 рублей /
- для собак от 10 до 20 кг 1150 рублей /
- для собак от 20 до 40 кг 1250 рублей /
- для собак от 40 до 56 кг 1400 рублей/
Действие таблектки 3 месяца.",,310,2017-03-16,Company,22babf609cfcbca6b1d5ca81321fd6f58e873903c8fc0a3609052ff9d6f5d933,843.0,0.0
990113ae4f1c,d9b494f97062,Воронежская область,Воронеж,Личные вещи,Товары для детей и игрушки,Игрушки,,,Пинки Пай My Little Pony,"Пинки Пай ждёт любящую хозяйку./
В комплекте с ней идут: бутылочка, небольшая сумочка, бусы. Поняшка не сломана, разговаривает, кушает, может сидеть. Продаётся, потому что ребёнок вырос и не хочет с ней играть.",1500.0,309,2017-03-24,Company,a8f76b8abea964400c4075cedaea9f7a0c970b5a5f2f8ea26c9c54550ea06bb9,957.0,0.10795999999999999
78164bc09657,721c2f914f63,Самарская область,Тольятти,Для дома и дачи,Мебель и интерьер,Текстиль и ковры,,,Ламбрикен,"Продам ламбрикен в хорошем состоянии,длина 2,20.",1000.0,59,2017-03-26,Private,b3c27bf75ffb0dad53a1f4a04fc8c335040468879b1365fdee7f137a0f23b0fb,1420.0,0.0
fbe29970a8a5,2f0e2746d462,Кемеровская область,Новокузнецк,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,37,Ботинки,Ботинки б/у в хорошем состоянии. Размер 37,1500.0,8,2017-03-27,Private,1d0cc04d7e20f696fbdc181dd3ab9ea964b57b46a981c9600fa1a3e49c6c4a43,436.0,0.0
71d9399b59a2,965ee1e259eb,Саратовская область,Саратов,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,46–48 (L),Продаю новое платье,"Новое, очень нарядное платье, Рост 170 см, размер 46.",1000.0,12,2017-03-25,Private,c4f1d5ccdbda96f2a4718f997318813c84de9e057d35288bfa694b02c0f43626,618.0,0.0
4941f0385575,d283308a713b,Нижегородская область,Нижний Новгород,Личные вещи,Детская одежда и обувь,Для мальчиков,Другое,,Песочник Crockid,"Состояние хорошее, носили мало.",200.0,20,2017-03-19,Private,659081173b0a320fae12fe7f8f7bbf9e361444cfcf5ff8cda8cf27a59f058b7b,63.0,0.0
af9d5b0eadc9,ff3f46835373,Ростовская область,Аксай,Для дома и дачи,Ремонт и строительство,Стройматериалы,,,Фасадные панели,"Уникальные свойства фасадных панелей FineBer позволяют им быть на пике привлекательности среди существующих облицовочных материалов. Вместе с практичностью, свойственной искусственным покрытиям, панели FineBer обладают важным свойством – они естественно передают поверхность природных материалов. Все больше владельцев загородных домов отдают предпочтение фасадным панелям, поскольку это наиболее выигрышный и экономичный способ придать жилью свежий и естественный вид. Изготовленные методом литья, панели прекрасно подходят для сплошной облицовки фасада и отделки цоколя.",,8,2017-03-25,Private,fb5c2ee81f10750f4142d2028707a779c7e95576bb180de788304883d62f013d,1282.0,0.0
1b080aa4a17d,68ee0dc56c28,Нижегородская область,Нижний Новгород,Животные,Другие животные,С/х животные,,,Бычки,продаю бычков на откорм веса от 150 до 220,130.0,18,2017-03-28,Private,d507fc90a72ae0a6c5b74e0ab6cd723680450c3af4f466e352a64ec886ee5c3c,2195.0,0.78501
d0e88acda491,5646036467ec,Пермский край,Пермь,Бытовая электроника,Товары для компьютера,Комплектующие,Системы охлаждения,,Кулер для компьютера cooler master,"Чтобы посмотреть весь ассортимент нашего магазина перейдите по ссылке в блоке справа ⇒⇒⇒⇒⇒⇒⇒⇒⇒⇒⇒⇒⇒⇒/
НАЛИЧИЕ ТОВАРА УТОЧНЯЙТЕ ПО КОТАКТНОМУ ТЕЛЕФОНУ./
 Продам Кулер для компьютера COOLER MASTER/
 /
В НАШЕМ МАГАЗИНЕ НА ТЕХНИКУ ДАЕТСЯ ГАРАНТИЯ!!!!!!/
========================================/
 Находимся по адресу: г. Пермь, ул. Карпинского. 109. (вход на углу дома с правого торца), работаем ежедневно с 10.00 до 20.00 без обеда./
 ========================================/
 Комиссионный магазин ""SecondLifeElectric"" продаёт, покупает, обменивает или принимает на комиссию и под денежный залог, как БУ, так и новую бытовую технику, электронику, а так же электро - бензо инструмент./
/
 Надёжная техника по доступной цене./
 Обновление ассортимента происходит ежедневно./
 ========================================/
 Покупая у нас, Вы получаете:/
 Гарантию!/
 Технику, которая обязательно проходит предпродажную подготовку!/
 Консультацию специалиста (в нашей компании работают 3 мастера по разным направлениям)!/
 Скидка на технику до 20 %!!!/
 Поддержку и помощь в ремонте после окончания гарантийного срока./
 Бесплатный вывоз старой крупногабаритной бытовой техники (не старше 10 лет)./
 Так же в наличии есть новая техника с ГАРАНТИЕЙ!/
 ========================================/
 Наша продукция имеет отличное техническое и внешнее состояние, обязательно проходит диагностику, качественный ремонт, проверку, мойку и чистку, только после данной процедуры техника попадает на витрину с минимальной гарантией 14 дней!!!/
 ========================================/
 Наша компания предоставляет услуги по профессиональному ремонту и обслуживанию бытовой техники и электроники, а так же электроинструмента. /
 ========================================/
Профессиональный ремонт и обслуживание стиральных машин./
 Наш мастер проконсультирует вас и сделает все возможное, чтобы ваша стиральная машина снова радовала вас!/
Ремонт стиральных машин осуществляется на дому, либо в мастерской (выезд и диагностика бесплатно, даже в случае отказа от ремонта). Причину поломки и примерную стоимость скажут по телефону. На все работы с заменой деталей дается гарантия./
 ========================================/
Профессиональный ремонт компьютеров и ноутбуков по самым низким ценам в городе, с ГАРАНТИЕЙ на работы и материалы./
 Обращаясь к нам вы получаете:/
 Бесплатную консультацию по телефону/
 Бесплатный (срочный) выезд на дом (в офис) в черте города/
 Стоимость работ оговаривается по телефону, либо перед выполнением работ/
 Качественно выполненную работу и гарантию/
 ***Бесплатную установку антивирусной программы***/
/
Со всем ассортиментом вы можете ознакомится у нас в Авито- Магазине/
 Смотри ниже! Тут весь наш товар!/
 -------------------⇘⇘⇘⇓⇓⇓⇓⇓⇓⇓⇓⇓⇓⇓⇓⇓⇙⇙⇙------",300.0,3377,2017-03-18,Shop,,,0.0
c559542570bd,1446906a094c,Татарстан,Казань,Недвижимость,Комнаты,Продам,,,"Комната 8.2 м² в 5-к, 3/5 эт.","Продаю тёплую комнату с отличным новым ремонтом в 5-комнатной квартире./
Комната в отличном состоянии! Ремонт делали недавно:/
- комнате пластиковое окно на солнечную сторону, /
- новые пластиковые трубы и батарея,/
- хорошие современные обои,/
- натяжной потолок,/
- на полу линолеум,/
- хорошая входная дверь./
В комнате остается вся мебель: раскладной диван, новый шкаф, холодильник, телевизор, микроволновая печь, стол-трансформер./
На общей кухне свой стол, плита. Санузел раздельный, душевая в кафеле, всё в чистом виде. Хорошие соседи, не шумные. /
Все документы готовы к продаже, один взрослый собственник. Возможна ипотека(помощь в оформлении)./
Показы в любое удобное время. Звоните!",900000.0,385,2017-03-21,Company,f1e11a40aaa06374bb8b1a551a85b6057754c06ecc0f0e30642ba80be8359402,2219.0,0.01635
2285e797fe2d,5977e301114d,Саратовская область,Саратов,Транспорт,Автомобили,С пробегом,Audi,80,"Audi 80, 1986","Отличный надёжный немец, на очень бодром ходу! Новые колёса с новой резиной. Новые сиденья, кожаные чехлы, гидроусилитель руля, люк, Кузов оцинкованный не гнилой! Дно целое! Пороги в идеале. Любые запчасти без проблем и дешевле чем на отечественные авто. Остальные вопросы по телефону",65000.0,1,2017-03-25,Private,9dc0755c29addc765567c613087fbcabfd62f1555772f4283064148e7733bfaf,1132.0,0.67548
3cb58a3d1d60,8ad989e5c449,Краснодарский край,Армавир,Личные вещи,Товары для детей и игрушки,Детские коляски,,,Коляска 2016 года,"Модульная детская коляска на низко профильной резине. Которая вас не подведёт ни проколом, ни спусканием. Модуль для деток постарше или как его называют летний СОВЕРШЕННО НОВЫЙ. Вся комплектация. Документы и чек в наличии, в ПОДАРОК отдам вещи которые на фотографии.",9000.0,67,2017-03-27,Private,e096fff38db61c2084c27d8c8a2d5358b67c845857efd6d82cc75244fe650770,1002.0,0.80323
f5259a31c938,8fc3ab3b7ed3,Владимирская область,Владимир,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Обувь,41,Берцы bates Gore-Tex 7R,"БЕРЦЫ BATES  Gore-Tex®, новые. Может надетые пару раз,не больше. Длина стельки - 26,5 см.",4000.0,80,2017-03-24,Company,9adfe931504bcd338463b40f98c2f28aceaf0acae787a17700f8bf6215115fb5,444.0,0.0
dd65da44086c,bf74debfc95a,Волгоградская область,Волгоград,Хобби и отдых,Коллекционирование,"Жетоны, медали, значки",,,Медаль ВАЗ. В честь пуска завода,"Настольная памятная медаль Волжский автомобильный завод им. 50 летия СССР. В честь пуска завода. 1967-1973. Медаль в хорошем состоянии. Выпущена в 1973 г. с хорошим художественным уровнем. Изготовлена из медно-никелевого сплава (вероятно, мельхиор). Диаметр 65 мм, толщина 3 мм (по гурту - 4 мм), гурт гладкий.",800.0,295,2017-03-23,Company,b2cb1b135fba683127b015971a4b8bb3a023180507ff557b3ee5f6de0f7df297,2416.0,0.0
f55eed4e831e,7e8eb4a5d1d5,Калининградская область,Гвардейск,Недвижимость,Коммерческая недвижимость,Продам,Складское помещение,,Склад 70 м²,"Продается склад ГСМ, по адресу п. Истровка, Калининградской обл, Гвардейского района, площадью 70 кв.м, с прилегающей територией 16 сот.",800000.0,6004,2017-03-28,Shop,,,0.06626
eddd320650f3,9250cd567e37,Воронежская область,Воронеж,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,37,Свадебные туфли,Продам новые туфли фирмы Louisa Peeress 37р,1000.0,11,2017-03-17,Company,8cb74742e39236fb3fa232950876f63324cc79ad3dbc496a65d4da8de204cbd3,435.0,0.0
078d07e4548b,442d45274b6a,Челябинская область,Челябинск,Личные вещи,Детская одежда и обувь,Для мальчиков,Брюки,134-140 см (8-10 лет),Брюки джинсовые,Длина по боковому шву=88см. Обхват талии= 66см(регулируется). Обхват бедер=86см. Находимся на северо-востоке.,300.0,65,2017-03-23,Private,ca858c5e60e383a5f0129782f04caa16767fc1060f88698e1d9af97572e11b23,658.0,0.0
b865b1ea7621,88f1d2bb3f11,Ханты-Мансийский АО,Пойковский,Личные вещи,Детская одежда и обувь,Для мальчиков,Комбинезоны и боди,74-80 см (7-12 мес),Летний комбинезончик. новый,"Продам. Новый. Нейтральный цвет. Подойдёт как для девочки, так и для мальчика. Написано 12 мес. Маломерит. Мы быстро выросли и не успели одеть.",500.0,13,2017-03-28,Private,d1a73a4bf5bb768660deebfb8c672ecaae4863d45c39a138282ab29496aa7307,42.0,0.0
208faac9e776,faac0b8d3f16,Пермский край,Пермь,Личные вещи,Детская одежда и обувь,Для девочек,"Шапки, варежки, шарфы",,Шлем киват kivat,"Шлем киват после одного ребёнка, дочка родилась зимой мы носили с рождения и ещё на следующей год носили. Очень тёплый, и удобный. Размер 0. Состояние хорошее, но видно что активно носили)) все мои дети ходят в шлемах kivat, хотя мной было перепробовано множество других шлемов и шапок, если думаете что одевать малышке которая рождается осенью или зимой, смело берите такой шлем, никакой дополнительной поддевы и чепчиков одевать не надо будет и нет завязок, которые так сильно нервируют малышей))",500.0,74,2017-03-15,Private,0947c987a847ff05474be155fbf47639625474f9b6481cf6f57b05a4917cfe5c,104.0,0.0
50ac2bb95f8d,36b6070caad9,Волгоградская область,Волгоград,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Трикотаж и футболки,44–46 (S),Футболка Adidas (хорошее состояние),"В хорошем состоянии футболка Adidas, оригинал, про-во Тайланд, чистая, немного б\у, подойдет на размер 44-46",400.0,2062,2017-03-15,Company,c8b120be7d1c66cb99d17b111f352c8160ef512e5cb49611eb506ea2b0e6928a,632.0,0.1184
745d124338ae,ffed6acdf3cb,Красноярский край,Красноярск,Недвижимость,Квартиры,Продам,1,Вторичка,"1-к квартира, 44 м², 13/16 эт.","ПВХ, отличное состояние. Парковочное место. Вид на Енисей. Торг./
 /
ag25/
 /
id95299",2300000.0,10714,2017-03-24,Shop,9250037f9daa5733bed530dfe2be278dd7f95ed756c80a96811fc57ad11e3ff8,2218.0,0.03227
75076ea12736,7febd220f4b1,Красноярский край,Красноярск,Для дома и дачи,Посуда и товары для кухни,Товары для кухни,,,"Полка хром, двухярусная",,350.0,13,2017-03-20,Private,9ebba0635d12c9828d75b3278f5f1ef694a6d6520eb1bb48c1f88512756d590d,1663.0,0.0
a58ab9e6a0b1,77e9bdfba1b6,Саратовская область,Саратов,Для дома и дачи,Мебель и интерьер,Текстиль и ковры,,,"Одеяло атласное двуспальное, теплое","Продам 2спальное одеяло: ватное, стеганое, ткань атлас, красного цвета. Чистое. Теплое. Толщина в среднем больше 4 см. Вечное) Просто подарили новое)/
Парк Победы. Уважаемый покупатель, возьмите с собой большой пакет, у меня пакетов таких размеров не осталось.",600.0,204,2017-03-22,Company,5530084ad35a3c79e1e56e21fa3ad38e8986efe53ab28effdf6d828b7c2c1bdc,1419.0,0.0
8c7c7596d7e5,1a4ba0f7ddf6,Красноярский край,Красноярск,Личные вещи,Товары для детей и игрушки,Детская мебель,,,Детский развивающий коврик,,500.0,8,2017-03-17,Private,985dd9d183f40eb4d724f7ac24d0b40a1913024592a18c87887d533ef1f0dd23,882.0,0.15008
16cec7b5dc9d,2f12a7caf4b5,Татарстан,Казань,Личные вещи,Товары для детей и игрушки,Детские коляски,,,Коляска б/у трость,"Продаю коляску-трость б/у в хорошем состоянии. Спинка регулируется, занимает мало места, удобно переносить.",2000.0,28,2017-03-18,Private,42fc9418e87bdbde53008ed166ceff1d278d5b1e31cbbbf8e012004b67f106ad,1002.0,0.80323
a285d4daec8a,e76f336932dc,Пермский край,Пермь,Личные вещи,Красота и здоровье,Приборы и аксессуары,,,Набор для маникюра,"Продам набор всё для маникюра /
Использовала несколько раз,что то вообще новое. 21 цвет лака,набор дотсов,краски для дизайна и многое другое....всё что на фото",5000.0,1,2017-03-17,Private,5e81097b80319562099bce5d0847433444ee5b51da1afa4c28bb3a0b975621d3,1039.0,0.15719
d4f6d088efb9,f12f66de31ae,Нижегородская область,Нижний Новгород,Личные вещи,Детская одежда и обувь,Для мальчиков,Обувь,21,"Сапожки демисезонные next.,5","Сапожки демисезонные NEXT. /
Размер 20,5 (4 Великобритания), стелька 14 см./
/
Цена 700 рублей, новые./
Щербинки",700.0,133,2017-03-17,Private,adb9fd21fa8faf314c49cb0c6e5ff03ceb8e14964b19221b5219d2544816d724,47.0,0.0
9a3f6028c653,e246a8135999,Краснодарский край,Сочи,Недвижимость,Квартиры,Продам,2,Вторичка,"2-к квартира, 42.5 м², 6/6 эт.","2-комн. квартира (студия плюс спальня) под ключ (мансарда), 42,5 кв.м., теплые полы, высокие потолки, установлена сантехника, кондиционер, кухонный гарнитур: встроенная варочная поверхность, духовка, оборудованная детская площадка, 100м до остановки, вид на море, детская площадка, поликлиника школа детский сад не далеко. Квартира более 4 лет в собственности. СОБСТВЕННИК!",2350000.0,19,2017-03-16,Company,73eb53453f11dbd560b665f9abf7e8d151cc33a3211bd1975ca729866a056bda,2219.0,0.21358000000000002
fec4bda6b786,d2d2ea930279,Ростовская область,Шахты,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,48–50 (XL),Все юбки и брюки за 300,,300.0,18,2017-03-23,Private,c6bc49b6cfe94d4830f842879af9f2ee4eadf9f69c7a86eaa36112e9e03cec27,378.0,0.14983
f2d19da921ff,794b7b865f1d,Башкортостан,Стерлитамак,Животные,Аквариум,,,,Аквариум ювель,"Отличный аквариум немецкого качества ЮВЕЛЬ, отдам все вместе!с тумбой рыбками 2 фильтра 30-40 рыб, камни, растения очень дорогие. Новый",15000.0,11,2017-03-18,Private,a9e1abf3e922e17501352ec8f43a353f69e8b1a2395674e2b5bb47125e6feb44,2018.0,0.0
0ee6e90e7b9d,4151658d66c6,Белгородская область,Белгород,Бытовая электроника,Телефоны,Explay,,,Смартфон Explay Blaze (белый),"продаю-Смартфон Explay Blaze (белый)Диагональ (дюйм): 5.5/
Разрешение (пикс): 960x540/
Фотокамера (Мп): 8/
Процессор: MediaTek MT6582M/
Количество ядер: 4/
Оперативная память (Мб): 1024-полный комплект-состояние нового.",3600.0,428,2017-03-26,Company,7edf06af1379f64035dd1e729d1cb72837f3826ae4e859149b50268af7d7dfce,2940.0,0.0
f893190597f3,b9d8c15c0f89,Челябинская область,Челябинск,Недвижимость,Комнаты,Сниму,На длительный срок,,Сниму комнату,Девушка без вредных привычек ... Снимет  квартиру в Калининском районе ... С хорошим ремонтом....Агенством не беспокоить!,6000.0,9,2017-03-19,Private,,,0.19172999999999998
3e6e4c0c26f6,da1a00873602,Ярославская область,Ярославль,Для дома и дачи,Мебель и интерьер,Другое,,,Матрас,Продам матрас пружинный б/у размер 1200-2000 в хорошем состоянии.,1500.0,4,2017-03-18,Private,8248cedf83f865051cbd9b71dbf5d8be4b6d879bfdafc6b27463bdf7e555a4a2,1439.0,0.86521
10664f10993a,2d941efb49d8,Ростовская область,Ростов-на-Дону,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,< 19,"Сандали Indigo, размер 19, состояние новых",,500.0,28,2017-03-16,Private,d122438cf21457e68a623fffa48282f1fa88299b5a4a035845cf658ec1a480e2,93.0,0.0
161a8d6b87b5,43e3aa5b47ee,Свердловская область,Екатеринбург,Личные вещи,Часы и украшения,Ювелирные изделия,,,Золото 585(лом),1550р. За 1 грамм!,1550.0,88,2017-03-27,Private,ee00994daa8d04b97cef158d5366060aeb0d51983bc6b40e5c0d1cd3e1f55529,11.0,0.0
6da2b3d03321,28f34159e53e,Ярославская область,Ростов,Личные вещи,Детская одежда и обувь,Для мальчиков,Обувь,35,Туфли для мальчика,"Продам туфли для мальчика фирмы Котофей, размер 35, в отличном состоянии. Звонки на номер после 17.00 ч.",500.0,4,2017-03-22,Private,bb48b332fb89a6c5b1acd0e47458793dc87d70f2da58b445984026ead4bbd09a,44.0,0.0
